Series Name,Series Code,Country Name,Country Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Age at first marriage, female",SP.DYN.SMAM.FE,Afghanistan,AFG,..,..,..,17.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.5,21.2,..,..,..,21.5,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Algeria,DZA,..,21,..,..,..,..,..,..,..,..,..,23.7,..,..,..,..,25.9,..,..,..,..,..,..,..,..,..,29.5,..,..,..,29.7,..,29.1,..,..,..,28.2,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.2,23,..,..,..,23,..,..,..,..,24.5,24.6,..,..,..,24.2,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Australia,AUS,22,..,..,..,..,23.5,..,..,..,..,24.8,..,25.5,25.8,26,..,26.4,26.7,27,..,27.7,28,..,28.5,..,28.9,..,..,..,..,29.7,..,..,..,..,29.9,..,..,..,..,29.9,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,22.9,..,..,..,..,..,..,..,..,..,..,23.9,23.3,22.9,..,..,24.6,..,..,..,24.6,..,25.1,..,..,..,..,..,..,24.2,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.3,..,..,..,..,..,..,..,..,..,..,..,..,20.7,..,21.5,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.3,..,..,..,..,..,..,..,..,..,24.6,..,..,..,..,..,..,..,..,24.6,..,..,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Austria,AUT,22.4,22.7,23,23.3,23.6,23.5,24.1,..,..,..,..,..,..,..,..,26.1,..,..,..,..,..,..,..,..,..,26.6,..,..,..,..,..,..,..,..,..,27.1,..,..,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bangladesh,BGD,16.7,..,..,..,..,16.7,..,..,..,..,..,..,..,..,..,18.1,..,..,18.3,..,..,18.6,..,..,18.8,19.1,..,..,18.7,..,18.7,18.3999999999999,..,..,..,19.3999999999999,..,19.2,18.8,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Belarus,BLR,..,..,..,21.3,..,..,..,..,..,..,..,..,..,21.9,..,..,..,..,..,..,..,..,..,22.8,..,..,..,..,..,22.7,..,..,..,24.6,..,..,22.5,..,..,..,..,..,..,..,..,..,..,..
